Ordrenr;Dato;Kundenr;Kundenavn;Kunderef;Valuta;Kundeordreref;Sum eksl. mva;Linjenr;Firma;Lager;Vare;Varenavn;Antall;Enhet;Netpris;Linjesum;Ordreverdi Totalt;Status;Henv1;Henv2;Henv3;Henv4;Henv5;Varegruppe
880000;12.02.2026;K770000;Storkunde K770000;REF-1;NOK;PO-880000;202,00;2;F10;Hovedlager;V660001;Vare V660001;2;STK;101,00;202,00;202,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880000;12.02.2026;K770000;Storkunde K770000;REF-2;NOK;PO-880000;306,00;3;F10;Hovedlager;V660002;Vare V660002;3;STK;102,00;306,00;306,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880000;12.02.2026;K770000;Storkunde K770000;REF-3;NOK;PO-880000;412,00;4;F10;Hovedlager;V660003;Vare V660003;4;STK;103,00;412,00;412,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880000;12.02.2026;K770000;Storkunde K770000;REF-4;NOK;PO-880000;520,00;5;F10;Hovedlager;V660004;Vare V660004;5;STK;104,00;520,00;520,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880001;12.02.2026;K770000;Storkunde K770000;REF-5;NOK;PO-880001;630,00;1;F10;Hovedlager;V660005;Vare V660005;6;STK;105,00;630,00;630,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880001;12.02.2026;K770000;Storkunde K770000;REF-6;NOK;PO-880001;742,00;2;F10;Hovedlager;V660006;Vare V660006;7;STK;106,00;742,00;742,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880001;12.02.2026;K770000;Storkunde K770000;REF-7;NOK;PO-880001;856,00;3;F10;Hovedlager;V660007;Vare V660007;8;STK;107,00;856,00;856,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880001;12.02.2026;K770000;Storkunde K770000;REF-8;NOK;PO-880001;972,00;4;F10;Hovedlager;V660008;Vare V660008;9;STK;108,00;972,00;972,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880001;12.02.2026;K770000;Storkunde K770000;REF-9;NOK;PO-880001;1090,00;5;F10;Hovedlager;V660009;Vare V660009;10;STK;109,00;1090,00;1090,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880002;12.02.2026;K770000;Storkunde K770000;REF-10;NOK;PO-880002;110,00;1;F10;Hovedlager;V660010;Vare V660010;1;STK;110,00;110,00;110,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880002;12.02.2026;K770000;Storkunde K770000;REF-11;NOK;PO-880002;222,00;2;F10;Hovedlager;V660011;Vare V660011;2;STK;111,00;222,00;222,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880002;12.02.2026;K770000;Storkunde K770000;REF-12;NOK;PO-880002;336,00;3;F10;Hovedlager;V660012;Vare V660012;3;STK;112,00;336,00;336,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880002;12.02.2026;K770000;Storkunde K770000;REF-13;NOK;PO-880002;452,00;4;F10;Hovedlager;V660013;Vare V660013;4;STK;113,00;452,00;452,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880002;12.02.2026;K770000;Storkunde K770000;REF-14;NOK;PO-880002;570,00;5;F10;Hovedlager;V660014;Vare V660014;5;STK;114,00;570,00;570,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880003;12.02.2026;K770000;Storkunde K770000;REF-15;NOK;PO-880003;690,00;1;F10;Hovedlager;V660015;Vare V660015;6;STK;115,00;690,00;690,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880003;12.02.2026;K770000;Storkunde K770000;REF-16;NOK;PO-880003;812,00;2;F10;Hovedlager;V660016;Vare V660016;7;STK;116,00;812,00;812,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880003;12.02.2026;K770000;Storkunde K770000;REF-17;NOK;PO-880003;936,00;3;F10;Hovedlager;V660017;Vare V660017;8;STK;117,00;936,00;936,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880003;12.02.2026;K770000;Storkunde K770000;REF-18;NOK;PO-880003;1062,00;4;F10;Hovedlager;V660018;Vare V660018;9;STK;118,00;1062,00;1062,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880003;12.02.2026;K770000;Storkunde K770000;REF-19;NOK;PO-880003;1190,00;5;F10;Hovedlager;V660019;Vare V660019;10;STK;119,00;1190,00;1190,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880004;12.02.2026;K770000;Storkunde K770000;REF-20;NOK;PO-880004;120,00;1;F10;Hovedlager;V660020;Vare V660020;1;STK;120,00;120,00;120,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880004;12.02.2026;K770000;Storkunde K770000;REF-21;NOK;PO-880004;242,00;2;F10;Hovedlager;V660021;Vare V660021;2;STK;121,00;242,00;242,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880004;12.02.2026;K770000;Storkunde K770000;REF-22;NOK;PO-880004;366,00;3;F10;Hovedlager;V660022;Vare V660022;3;STK;122,00;366,00;366,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880004;12.02.2026;K770000;Storkunde K770000;REF-23;NOK;PO-880004;492,00;4;F10;Hovedlager;V660023;Vare V660023;4;STK;123,00;492,00;492,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880004;12.02.2026;K770000;Storkunde K770000;REF-24;NOK;PO-880004;620,00;5;F10;Hovedlager;V660024;Vare V660024;5;STK;124,00;620,00;620,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880005;12.02.2026;K770000;Storkunde K770000;REF-25;NOK;PO-880005;750,00;1;F10;Hovedlager;V660025;Vare V660025;6;STK;125,00;750,00;750,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880005;12.02.2026;K770000;Storkunde K770000;REF-26;NOK;PO-880005;882,00;2;F10;Hovedlager;V660026;Vare V660026;7;STK;126,00;882,00;882,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880005;12.02.2026;K770000;Storkunde K770000;REF-27;NOK;PO-880005;1016,00;3;F10;Hovedlager;V660027;Vare V660027;8;STK;127,00;1016,00;1016,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880005;12.02.2026;K770000;Storkunde K770000;REF-28;NOK;PO-880005;1152,00;4;F10;Hovedlager;V660028;Vare V660028;9;STK;128,00;1152,00;1152,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880005;12.02.2026;K770000;Storkunde K770000;REF-29;NOK;PO-880005;1290,00;5;F10;Hovedlager;V660029;Vare V660029;10;STK;129,00;1290,00;1290,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880006;12.02.2026;K770000;Storkunde K770000;REF-30;NOK;PO-880006;130,00;1;F10;Hovedlager;V660030;Vare V660030;1;STK;130,00;130,00;130,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880006;12.02.2026;K770000;Storkunde K770000;REF-31;NOK;PO-880006;262,00;2;F10;Hovedlager;V660031;Vare V660031;2;STK;131,00;262,00;262,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880006;12.02.2026;K770000;Storkunde K770000;REF-32;NOK;PO-880006;396,00;3;F10;Hovedlager;V660032;Vare V660032;3;STK;132,00;396,00;396,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880006;12.02.2026;K770000;Storkunde K770000;REF-33;NOK;PO-880006;532,00;4;F10;Hovedlager;V660033;Vare V660033;4;STK;133,00;532,00;532,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880006;12.02.2026;K770000;Storkunde K770000;REF-34;NOK;PO-880006;670,00;5;F10;Hovedlager;V660034;Vare V660034;5;STK;134,00;670,00;670,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880007;12.02.2026;K770000;Storkunde K770000;REF-35;NOK;PO-880007;810,00;1;F10;Hovedlager;V660035;Vare V660035;6;STK;135,00;810,00;810,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880007;12.02.2026;K770000;Storkunde K770000;REF-36;NOK;PO-880007;952,00;2;F10;Hovedlager;V660036;Vare V660036;7;STK;136,00;952,00;952,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880007;12.02.2026;K770000;Storkunde K770000;REF-37;NOK;PO-880007;1096,00;3;F10;Hovedlager;V660037;Vare V660037;8;STK;137,00;1096,00;1096,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880007;12.02.2026;K770000;Storkunde K770000;REF-38;NOK;PO-880007;1242,00;4;F10;Hovedlager;V660038;Vare V660038;9;STK;138,00;1242,00;1242,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880007;12.02.2026;K770000;Storkunde K770000;REF-39;NOK;PO-880007;1390,00;5;F10;Hovedlager;V660039;Vare V660039;10;STK;139,00;1390,00;1390,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880008;12.02.2026;K770000;Storkunde K770000;REF-40;NOK;PO-880008;140,00;1;F10;Hovedlager;V660040;Vare V660040;1;STK;140,00;140,00;140,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880008;12.02.2026;K770000;Storkunde K770000;REF-41;NOK;PO-880008;282,00;2;F10;Hovedlager;V660041;Vare V660041;2;STK;141,00;282,00;282,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880008;12.02.2026;K770000;Storkunde K770000;REF-42;NOK;PO-880008;426,00;3;F10;Hovedlager;V660042;Vare V660042;3;STK;142,00;426,00;426,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880008;12.02.2026;K770000;Storkunde K770000;REF-43;NOK;PO-880008;572,00;4;F10;Hovedlager;V660043;Vare V660043;4;STK;143,00;572,00;572,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
